Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,5/2/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and Barbuda,ATG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.142490738,0.12249755,0.137235393,0.117599624,0.131620079,0.128909586,0.110479798,0.108266955,0.121377636,0.119228591,0.102657359,0.043367642,0.042816773,0.042326251,0.041894175,0.041502386,0.041166381,0.040914298,0.040800783,0.040848561,0.041058769,0.041409011,0.041876631,0.042417815,0.057321372,0.05813193,0.058957919,0.059649855,0.060035721,0.059973612,0.059429183,0.058456457,0.057193514,0.055773226,0.0543338,0.052890464,0.051454225,0.050093299,0.048881231,0.047856049,0.047027288,0.04636821,0.045822689,0.045322184,0.044816421,0.044296298,0.043772776,0.043253531,0.042743719,0.042256051,0.041788987,0.041332135,0.040889761,0.04045512,0.040030824,,
Australia,AUS,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,2.879423829,2.988549618,3.016803653,3.168263634,3.246048472,3.400051498,3.498432071,3.44658173,3.384163745,3.327256736,3.177707351,3.082340442,3.00568012,3.069372586,3.039372346,2.998361006,2.895081736,2.961275944,3.026870608,2.996937109,2.881623903,3.05534326,2.916064806,3.02882141,2.992130981,2.922451681,2.886208105,2.842936814,2.836854125,2.806898289,2.644063874,2.69791369,2.62070527,2.649117894,2.218736166,1.98154115,2.153210563,2.354497354,2.405685301,2.469795854,2.565651883,2.432345787,2.364365632,2.372040105,2.422284112,2.305306335,2.119303232,2.069677917,2.10292416,1.932120689,2.134196454,2.071586316,1.996854648,1.997818427,1.93394062,,
Austria,AUT,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.238347267,0.235768873,0.230775309,0.229380627,0.228307708,0.220702736,0.216890394,0.215901954,0.21300743,0.212398786,0.211586402,0.210492801,0.199575145,0.199235745,0.199369223,0.200911371,0.202023405,0.204567258,0.201737218,0.203458988,0.20465839,0.202663273,0.190295838,0.191101318,0.191408179,0.190097643,0.18997738,0.192213457,0.191480697,0.185729078,0.186334018,0.183146703,0.179492268,0.17930681,0.177900169,0.177157556,0.176454915,0.176010673,0.175418314,0.174622539,0.172463251,0.171369385,0.169924655,0.168784354,0.167808543,0.166556995,0.165873324,0.164513688,0.163795648,0.163067574,0.162018332,0.160747503,0.159669787,0.158249503,0.155921887,,
Azerbaijan,AZE,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.230899485,0.228925951,0.226879031,0.224632401,0.229911117,0.229796192,0.228699608,0.22860543,0.226822056,0.226316698,0.224830059,0.223278804,0.221597544,0.219641676,0.217017992,0.216051181,0.212269211,0.209449995,0.208088239,0.205568859,0.204049492,0.204453721,0.202043423,0.200811641,,
Burundi,BDI,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.237704012,0.241907419,0.245429885,0.24710556,0.24562393,0.238841154,0.243659368,0.241237573,0.292474128,0.272021752,0.265020364,0.252818318,0.259886153,0.257006537,0.253302879,0.250022796,0.246519805,0.238900211,0.231728922,0.225902682,0.220212422,0.214612776,0.209048519,0.203443578,0.197785399,0.19208665,0.186457343,0.181076318,0.176135563,0.171731991,0.167808002,0.164277895,0.161139467,0.158389347,0.157663679,0.155600492,0.15542947,0.153563845,0.152892049,0.149983455,0.14872261,0.146256754,0.142382268,0.137139815,0.128783885,0.11725868,0.107058654,0.10959219,0.111909121,0.108361764,0.110576559,0.118029424,0.124997578,0.121312725,0.117655479,,
Belgium,BEL,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084087306,0.082145944,0.080520402,0.08047314,0.080605408,0.080449548,0.079825877,0.078959504,0.078805054,0.077803042,0.076544759,0.07467588,0.072158721,0.072969092,0.072887487,0.073575091,,
Benin,BEN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.373093926,0.375564946,0.377527814,0.37896878,0.379887827,0.384018994,0.391180953,0.394040672,0.413939083,0.412039803,0.419946166,0.420559166,0.417513067,0.417266422,0.419580634,0.418263412,0.416492036,0.411471484,0.406242763,0.403533338,0.40051014,0.394631585,0.386143488,0.377692654,0.369288216,0.360993946,0.352791007,0.344543332,0.336098469,0.324395159,0.314593711,0.30571272,0.298817606,0.297503421,0.303104296,0.319973273,0.334307654,0.347744644,0.34513298,0.34663807,0.346204951,0.349535611,0.352367611,0.354838527,0.338251553,0.304251143,0.295690337,0.29895655,0.273905034,0.276109195,0.272704153,0.27751625,0.269879876,0.26247454,0.255296166,,
Burkina Faso,BFA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.433949389,0.430213659,0.426427273,0.421464279,0.417208548,0.41283298,0.40800903,0.403014994,0.398323208,0.393983572,0.384388179,0.391748022,0.396763636,0.402811835,0.40717876,0.406436876,0.406317614,0.405768404,0.404697125,0.402324955,0.399418195,0.396744737,0.393003315,0.389046056,0.385615407,0.381429418,0.37776074,0.41812739,0.411430399,0.397796672,0.384526818,0.371620739,0.359069209,0.342379654,0.334989184,0.335494606,0.354412235,0.355556398,0.345661912,0.318747285,0.37673969,0.382328298,0.403014835,0.35301605,0.365074173,0.33986115,0.343810888,0.408448735,0.376458803,0.384486803,0.354435644,0.36207361,0.363152381,0.341180931,0.331297254,,
Bangladesh,BGD,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.173513084,0.168469075,0.163803619,0.159618394,0.157198016,0.152549746,0.148321046,0.143375699,0.138920877,0.135854004,0.133037773,0.135108607,0.132928264,0.130658593,0.128236192,0.125179564,0.121867078,0.118454426,0.115072829,0.111954139,0.108801505,0.105851442,0.102888622,0.101231796,0.098197567,0.095683804,0.09390525,0.094448821,0.092211108,0.089049072,0.086316763,0.077403794,0.074814104,0.072369048,0.070796239,0.068912546,0.0677407,0.066857541,0.065380301,0.063458893,0.061913175,0.060416982,0.059186154,0.057626104,0.055155402,0.054207252,0.05311977,0.052437467,0.051816258,0.051206349,0.049885676,0.049252842,0.04872715,0.048110075,0.04816481,,
Bulgaria,BGR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.535306161,0.518411081,0.512246314,0.51323987,0.507912563,0.504477022,0.498903399,0.496319837,0.492994452,0.487892561,0.48404508,0.481332058,0.477904625,0.472188087,0.453745794,0.449843634,0.447173804,0.445426111,0.441539371,0.431866488,0.430092192,0.428148967,0.426410707,0.424856197,0.425197256,0.426314702,0.426356809,0.427548081,0.433481146,0.442288619,0.44761767,0.473878488,0.479562075,0.473850522,0.475608867,0.502581304,0.517079504,0.428253802,0.435776867,0.431569862,0.432880326,0.428088692,0.427377524,0.429319697,0.414285364,0.412049853,0.408861737,0.412142123,0.422597097,0.430796748,0.442277481,0.454017362,0.478863721,0.482562281,0.488952967,,
